zone_id,zone_name,data_periods,day_type,day_part,segment_traffic,avg_speed_mph,free_flow_speed_mph,free_flow_factor,inferred_volume,speed_p5,speed_p15,speed_p85,speed_p95
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),4: Peak PM (3pm-7pm),1810,12,23.16,0.498,False,2.0,4.0,18.0,21.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),5: Late PM (7pm-12am),672,16,23.16,0.698,False,6.0,10.0,22.0,25.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),0: All Day (12am-12am),5850,13,23.16,0.553,False,2.0,5.0,19.0,22.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),1: Early AM (12am-6am),86,19,23.16,0.803,False,9.0,14.0,24.0,28.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),2: Peak AM (6am-10am),1172,13,23.16,0.576,False,2.0,6.0,20.0,23.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),3: Mid-Day (10am-3pm),1983,13,23.16,0.545,False,2.0,5.0,19.0,22.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),4: Peak PM (3pm-7pm),1927,11,23.16,0.485,False,2.0,4.0,17.0,20.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),5: Late PM (7pm-12am),683,16,23.16,0.697,False,6.0,10.0,22.0,25.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),0: All Day (12am-12am),4603,13,23.16,0.57,False,3.0,6.0,19.0,23.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),1: Early AM (12am-6am),98,18,23.16,0.76,False,6.0,12.0,24.0,26.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),2: Peak AM (6am-10am),456,15,23.16,0.65,False,4.0,8.0,21.0,24.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),2022,12,23.16,0.52,False,2.0,5.0,18.0,21.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),1470,13,23.16,0.548,False,2.0,5.0,19.0,22.0
,Sacramento to McGee,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),5: Late PM (7pm-12am),556,16,23.16,0.709,False,6.0,10.0,22.0,25.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),0: All Day (12am-12am),5549,23,29.5,0.784,False,12.0,16.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),1: Early AM (12am-6am),108,25,29.5,0.863,False,14.0,19.0,31.0,35.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),2: Peak AM (6am-10am),1033,23,29.5,0.795,False,12.0,16.0,29.0,33.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),3: Mid-Day (10am-3pm),1970,23,29.5,0.786,False,12.0,16.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),4: Peak PM (3pm-7pm),1726,22,29.5,0.762,False,11.0,15.0,28.0,31.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),5: Late PM (7pm-12am),712,24,29.5,0.803,False,13.0,17.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),0: All Day (12am-12am),5808,23,29.5,0.783,False,11.0,16.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),1: Early AM (12am-6am),97,26,29.5,0.875,False,14.0,20.0,32.0,36.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),2: Peak AM (6am-10am),1277,23,29.5,0.791,False,12.0,16.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),3: Mid-Day (10am-3pm),1914,23,29.5,0.791,False,12.0,16.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),4: Peak PM (3pm-7pm),1805,22,29.5,0.755,False,11.0,15.0,28.0,31.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),5: Late PM (7pm-12am),714,24,29.5,0.801,False,13.0,17.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),0: All Day (12am-12am),4662,23,29.5,0.79,False,12.0,16.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),1: Early AM (12am-6am),131,25,29.5,0.845,False,12.0,18.0,30.0,34.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),2: Peak AM (6am-10am),451,24,29.5,0.828,False,13.0,17.0,30.0,33.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),2010,23,29.5,0.778,False,12.0,16.0,29.0,31.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),1455,23,29.5,0.783,False,12.0,16.0,29.0,32.0
,San Pablo to Peralta,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),5: Late PM (7pm-12am),615,24,29.5,0.807,False,13.0,17.0,29.0,32.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),0: All Day (12am-12am),11082,18,29.128,0.616,False,2.0,7.0,26.0,29.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),1: Early AM (12am-6am),215,22,29.128,0.752,False,6.0,12.0,28.0,32.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),2: Peak AM (6am-10am),1975,19,29.128,0.645,False,2.0,8.0,27.0,30.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),3: Mid-Day (10am-3pm),3963,18,29.128,0.603,False,2.0,6.0,26.0,29.0
