data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),0: All Day (12am-12am),614,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),1: Early AM (12am-6am),21,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),152,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),149,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),246,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),62,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),830,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),1: Early AM (12am-6am),41,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),284,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),304,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),259,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),102,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),0: All Day (12am-12am),817,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),1: Early AM (12am-6am),4,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),2: Peak AM (6am-10am),142,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),254,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),343,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),5: Late PM (7pm-12am),88,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),0: All Day (12am-12am),945,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),183,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),265,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),391,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),150,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),637,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),1: Early AM (12am-6am),8,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),92,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),269,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),233,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),68,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),0: All Day (12am-12am),215,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),2: Peak AM (6am-10am),25,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),95,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),74,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),5: Late PM (7pm-12am),27,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),0: All Day (12am-12am),163,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),27,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),81,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),64,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),21,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),247,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),32,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),134,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),84,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),58,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),0: All Day (12am-12am),384,Average Daily Zone Traffic (StL Volume)
