data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),49,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),36,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),136,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),19,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),41,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),76,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),19,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),173,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),18,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),37,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),119,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),19,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),102,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),31,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),53,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),21,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Rose to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),18,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),325,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),53,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),123,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Sacramento to McGee,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),111,Average Daily Zone Traffic (StL Volume)
